model,model_label,seed,class_id,class,n_gt,tp,fp,fn,precision,recall,f1,ap50,ap50_95,miss_rate,false_discovery_rate,fppi
rtdetr_l,RT-DETR-L,20260908,4,Missing,20,18,181,2,0.09045226130653267,0.9,0.1643835616438356,0.5362676080779725,0.47004060508643136,0.09999999999999998,0.9095477386934674,1.81
rtdetr_l,RT-DETR-L,20260908,5,Normal,519,517,399,2,0.5644104803493449,0.9961464354527938,0.7205574912891985,0.9254190477672459,0.8688105543671705,0.003853564547206201,0.43558951965065507,3.99
rtdetr_l,RT-DETR-L,20260909,0,Deformed,20,13,150,7,0.07975460122699386,0.65,0.14207650273224043,0.2463760118511014,0.2331712310105838,0.35,0.9202453987730062,1.5
rtdetr_l,RT-DETR-L,20260909,1,Displaced,20,9,42,11,0.17647058823529413,0.45,0.25352112676056343,0.21140624815169687,0.1926033548706142,0.55,0.8235294117647058,0.42
rtdetr_l,RT-DETR-L,20260909,2,Fractured,20,6,26,14,0.1875,0.3,0.23076923076923075,0.24028307612690866,0.2182576334092336,0.7,0.8125,0.26
rtdetr_l,RT-DETR-L,20260909,3,Inverted,20,11,117,9,0.0859375,0.55,0.14864864864864866,0.16509166708064754,0.15572666116700046,0.44999999999999996,0.9140625,1.17
rtdetr_l,RT-DETR-L,20260909,4,Missing,20,16,52,4,0.23529411764705882,0.8,0.3636363636363636,0.33982800873541225,0.30452110353170936,0.19999999999999996,0.7647058823529411,0.52
rtdetr_l,RT-DETR-L,20260909,5,Normal,519,482,361,37,0.571767497034401,0.928709055876686,0.7077826725403819,0.8579673214222783,0.7779229341431051,0.07129094412331405,0.428232502965599,3.61
rtdetr_l,RT-DETR-L,20260910,0,Deformed,20,10,34,10,0.22727272727272727,0.5,0.3125,0.26718426501759673,0.23676668176324095,0.5,0.7727272727272727,0.34
rtdetr_l,RT-DETR-L,20260910,1,Displaced,20,7,8,13,0.4666666666666667,0.35,0.4,0.14903203768104456,0.12932777199184126,0.65,0.5333333333333333,0.08
rtdetr_l,RT-DETR-L,20260910,2,Fractured,20,7,25,13,0.21875,0.35,0.2692307692307692,0.15743827129965746,0.13473414718350757,0.65,0.78125,0.25
rtdetr_l,RT-DETR-L,20260910,3,Inverted,20,10,37,10,0.2127659574468085,0.5,0.2985074626865672,0.19569949506471385,0.17179803153295814,0.5,0.7872340425531915,0.37
rtdetr_l,RT-DETR-L,20260910,4,Missing,20,8,6,12,0.5714285714285714,0.4,0.47058823529411764,0.32455715794904555,0.2662144228057221,0.6,0.4285714285714286,0.06
rtdetr_l,RT-DETR-L,20260910,5,Normal,519,351,303,168,0.536697247706422,0.6763005780346821,0.5984654731457801,0.6769343265840293,0.6107321223188895,0.32369942196531787,0.463302752293578,3.03
yolo11m,YOLO11m,20260908,0,Deformed,20,16,8,4,0.6666666666666666,0.8,0.7272727272727272,0.7635798526089169,0.7600739912700949,0.19999999999999996,0.33333333333333337,0.08
yolo11m,YOLO11m,20260908,1,Displaced,20,13,5,7,0.7222222222222222,0.65,0.6842105263157895,0.6160549868056842,0.5768523461715381,0.35,0.2777777777777778,0.05
yolo11m,YOLO11m,20260908,2,Fractured,20,10,10,10,0.5,0.5,0.5,0.6912634944813164,0.6723702634505788,0.5,0.5,0.1
yolo11m,YOLO11m,20260908,3,Inverted,20,20,18,0,0.5263157894736842,1.0,0.6896551724137931,0.7850861875523978,0.7622064623264593,0.0,0.4736842105263158,0.18
yolo11m,YOLO11m,20260908,4,Missing,20,20,1,0,0.9523809523809523,1.0,0.975609756097561,1.0,0.898161906526787,0.0,0.04761904761904767,0.01
